# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_current[2];w_current[3];w_target[0];w_target[1];w_target[2];w_target[3]
0.000000000000000000000000000000e+00;3.093747528942251967531973377845e-02;2.888826633256425663320854368976e-02;1.366141326541771836618893720683e-04;2.000000000000000000000000000000e+00;1.544153150529847806637917528860e+00;8.000000000000000444089209850063e-01;1.137164864168943578803805394273e-01;1.039342298781545685312788229737e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.501239856895043315242969234058e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.000000000000000000000000000000e+00;3.118626023111520720321188093749e-02;2.898198213748345158924379916243e-02;1.335940825418924649947011173978e-04;1.997921315402436892583182270755e+00;1.542327950341915610010801174212e+00;8.000000000000000444089209850063e-01;1.136970830989820768763820524327e-01;1.045034109021120063282017653705e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.514357994035552325577578119953e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.000000000000000000000000000000e+00;3.143735396141063981323426901326e-02;2.907574989694819075913834183211e-02;1.305308767733425801861602000287e-04;1.995833419480701254045129644510e+00;1.540494253666581991879525048716e+00;8.000000000000000444089209850063e-01;1.136775063543121605524888195760e-01;1.050761234195068385618987427677e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.527583542343220680999327232286e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.000000000000000000000000000000e+00;3.169077738037642116841752226719e-02;2.916956359890809577506409766556e-02;1.274241152229356357876433047949e-04;1.993736275093600074370669972268e+00;1.538652022795389484599581919611e+00;8.000000000000000444089209850063e-01;1.136577546439807573364078052691e-01;1.056523835899234129570567475298e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.540916961251252617192547544889e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
4.000000000000000000000000000000e+00;3.194655151442934992722655351827e-02;2.926341712883841900127990243163e-02;1.242733970688169480890705731468e-04;1.991629845196466463974616090127e+00;1.536801220089618391639874062093e+00;8.000000000000000444089209850063e-01;1.136378264183768582729072704751e-01;1.062322074850421309635817301853e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.554358700076049581810522237646e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.000000000000000000000000000000e+00;3.220469751515334100311349629919e-02;2.935730426913149906931188581893e-02;1.210783208759801191914048934528e-04;1.989514092846983217555134615395e+00;1.534941807986583750533782222192e+00;8.000000000000000444089209850063e-01;1.136177201172069439749634511827e-01;1.068156110847890772133639281094e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.567909197654684537621971873733e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
6.000000000000000000000000000000e+00;3.246523665805220448810075595247e-02;2.945121869851014331787020239517e-02;1.178384846816950937793341824822e-04;1.987388981211090754896986254607e+00;1.533073749006053532184523646720e+00;8.000000000000000444089209850063e-01;1.135974341695236283777958874452e-01;1.074026102734423676263175728707e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.581568881977002180420389942928e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
7.000000000000000000000000000000e+00;3.272819034123696652072155188762e-02;2.954515399146306897648628364550e-02;1.145534860832761816801933507648e-04;1.985254473568983213382921348966e+00;1.531197005756776308160738153674e+00;8.000000000000000444089209850063e-01;1.135769669937567449835569277639e-01;1.079932208356947824848259820385e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.595338169812340328311724146904e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
8.000000000000000000000000000000e+00;3.299358008404537634383757449541e-02;2.963910361770392618008251872652e-02;1.112229223282173409988182744002e-04;1.983110533321191359945601107029e+00;1.529311540943139036130560270976e+00;8.000000000000000444089209850063e-01;1.135563169977487768536050793955e-01;1.085874584526741589915466157379e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.609217466330964808971654145253e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
9.000000000000000000000000000000e+00;3.326142752559287790736775036748e-02;2.973306094165435731202506985937e-02;1.078463904067114591993695182914e-04;1.980957123994750990192414974445e+00;1.527417317371930982616845540178e+00;8.000000000000000444089209850063e-01;1.135354825787930344027643059235e-01;1.091853386979222371999664886744e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.623207164720246982805851310161e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
