# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_current[2];w_current[3];w_target[0];w_target[1];w_target[2];w_target[3]
0.000000000000000000000000000000e+00;2.620554628946207900708209592722e-02;2.867243777098615539755677161793e-02;7.870758994702507316352374511226e-06;2.000000000000000000000000000000e+00;1.447181680482958476829935534624e+00;8.000000000000000444089209850063e-01;1.139841605997000406613750556062e-01;1.100700230649435777674494119083e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.577987943390303255536410986792e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.000000000000000000000000000000e+00;2.645822908973682885402922693174e-02;2.878476042853234106999593677756e-02;1.244594571848057828816411229944e-05;1.997798599538701314060062941280e+00;1.445512240397477388142988274922e+00;8.000000000000000444089209850063e-01;1.139699661400418034817860757357e-01;1.107507387653990918105484375644e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.593966741322491381476454674893e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.000000000000000000000000000000e+00;2.671367062726417301865566855668e-02;2.889718144134854893589903213069e-02;1.708750091364919708415356924824e-05;1.995586022830667216609867864463e+00;1.443833369954828249603906442644e+00;8.000000000000000444089209850063e-01;1.139555625219056955721441681817e-01;1.114359826081204622380549373872e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.610092904260909416687581885430e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.000000000000000000000000000000e+00;2.697189962157846981893882798431e-02;2.900969179304435652255733657512e-02;2.179607152737430739684876268569e-05;1.993362221937335476695807301439e+00;1.442145018071991691144262404123e+00;8.000000000000000444089209850063e-01;1.139409474504091135393935019238e-01;1.121257724613089652720976374667e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.626367050579797182024467672168e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
4.000000000000000000000000000000e+00;2.723863563295778056350116003159e-02;2.912228229557419292850006797835e-02;2.657230475720704862292037562455e-05;2.000000000000000000000000000000e+00;1.403550356399415388608531429782e+00;8.000000000000000444089209850063e-01;1.139261186137088543990358857627e-01;1.152722853583123142212629730352e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.678496017530377849261320755136e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.000000000000000000000000000000e+00;2.750832750470949550347654621874e-02;2.923738670402411046755908330397e-02;3.152263483099650110894063281819e-05;1.997694554292833712949573055084e+00;1.401928123379917012769624307111e+00;8.000000000000000444089209850063e-01;1.139107451109839519443056587988e-01;1.159955180230372567135033179397e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.695702908186569684797530277454e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
6.000000000000000000000000000000e+00;2.778100594649055010698646128731e-02;2.935254847516088547165757915991e-02;3.654467951925588785127771429551e-05;1.995377318146063672088530438486e+00;1.400296117063616785358703964448e+00;8.000000000000000444089209850063e-01;1.138951444094654374961095300023e-01;1.167235234373366825275097902193e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.713066439943001774371886258841e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
7.000000000000000000000000000000e+00;2.805670185430333973819472248579e-02;2.946775723255198181638192522769e-02;4.163911605900336940786279904536e-05;1.993048243434454303013581011328e+00;1.398654282264629511445264142822e+00;8.000000000000000444089209850063e-01;1.138793140292229666421519596042e-01;1.174563181838735688097830056620e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.730587134835883747767566742670e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
8.000000000000000000000000000000e+00;2.833544630719827400744392775778e-02;2.958300241286894796677309216193e-02;4.680662083206517181614009226465e-05;1.990707282348087803214298219245e+00;1.397002563884451209474946153932e+00;8.000000000000000444089209850063e-01;1.138632514732736272788926612520e-01;1.181939185127117535045737639621e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.748265488273993828048820387000e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
9.000000000000000000000000000000e+00;2.861727056381804801254986614367e-02;2.969827326527259281352399966636e-02;5.204786912713396895792047902596e-05;1.988354387404962730911961443780e+00;1.395340906924076973538717538759e+00;8.000000000000000444089209850063e-01;1.138469542277508045335920883190e-01;1.189363403325278262245845439793e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.766101968183436779795056348341e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
