# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_current[2];w_current[3];w_target[0];w_target[1];w_target[2];w_target[3]
0.000000000000000000000000000000e+00;4.533711817467617893884224145040e-02;3.936758684969744737092156583458e-02;9.919565669673711103861146742844e-05;1.600000000000000088817841970013e+00;1.398650836020234544676554833131e+00;8.000000000000000444089209850063e-01;1.120166893948165709460340622172e-01;2.225169628678289209227497691401e-04;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.379977930615079517360187233432e-06;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.000000000000000000000000000000e+00;4.541064509599625209634865541375e-02;3.938815462699730984841295367005e-02;9.809611905646858595088366516990e-05;1.599643972859411622522429752280e+00;1.398313830148252723262203289778e+00;8.000000000000000444089209850063e-01;1.120116508395807286557754878231e-01;2.227364370708849537327383982799e-04;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.386588612207237034370556350016e-06;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.000000000000000000000000000000e+00;4.548429136869976130430615057776e-02;3.940870783691408085758212109795e-02;9.699409809716258163824614824122e-05;1.599287673860315006635346435360e+00;1.397976508994817734787829976995e+00;8.000000000000000444089209850063e-01;1.120066022228465019150434045514e-01;2.229560967143187210238314266419e-04;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.393205837936674896604741236139e-06;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.000000000000000000000000000000e+00;4.555805713485022723219231011171e-02;3.942924639753211252246600793114e-02;9.588959158740962358726672709608e-05;1.598931102923027758322405134095e+00;1.397638872394401765575366880512e+00;8.000000000000000444089209850063e-01;1.120015435316084884131981880273e-01;2.231759417592195349731853948327e-04;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.399829598812772796635837263546e-06;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
4.000000000000000000000000000000e+00;4.563194253642510050950065192410e-02;3.944977022683697487348553067932e-02;9.478259730430480044065244538132e-05;1.598574259968324806635564527824e+00;1.397300920182019456916577837546e+00;8.000000000000000444089209850063e-01;1.119964747528640197637983533241e-01;2.233959721660362966397239681271e-04;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.406459885775501159207133416995e-06;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.000000000000000000000000000000e+00;4.570594771531498456962339105303e-02;3.947027924271571258652002711642e-02;9.367311303349296167531506940307e-05;1.598217144917439602735953485535e+00;1.396962652193227905073058536800e+00;8.000000000000000444089209850063e-01;1.119913958736127035376028970859e-01;2.236161878945758154507705839364e-04;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.413096689695246652444977908392e-06;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
6.000000000000000000000000000000e+00;4.578007281332193562084498239528e-02;3.949077336295750417782812746736e-02;9.256113656921552803116814978068e-05;1.597859757692065230116895691026e+00;1.396624068264133100569779344369e+00;8.000000000000000444089209850063e-01;1.119863068808572281742641507662e-01;2.238365889040030531475372610473e-04;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.419740001372738495992367052656e-06;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
7.000000000000000000000000000000e+00;4.585431797215877569584563389071e-02;3.951125250525393955980391069716e-02;9.144666571435762720057582875199e-05;1.597502098214356625049958893214e+00;1.396285168231387707749036053428e+00;8.000000000000000444089209850063e-01;1.119812077616026968485130055342e-01;2.240571751528391722212141257131e-04;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.426389811538870584090021864654e-06;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
8.000000000000000000000000000000e+00;4.592868333344730935596800236453e-02;3.953171658719985270824537337830e-02;9.032969828049373873981447991000e-05;1.597144166406929910451140131045e+00;1.395945951932200834733066585613e+00;8.000000000000000444089209850063e-01;1.119760985028575989153054592862e-01;2.242779465989623761696530879206e-04;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.433046110854662522060814361380e-06;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
9.000000000000000000000000000000e+00;4.600316903871731061270722307199e-02;3.955216552629338411239956485588e-02;8.921023208793458581303270626961e-05;1.596785962192865726549939608958e+00;1.395606419204331816175113090139e+00;8.000000000000000444089209850063e-01;1.119709790916330327537053790365e-01;2.244989031996056326728056218300e-04;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.439708889911060573567162801378e-06;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
